Type,Upgrade ID,Median Abs Error,Median APE,Median Abs Error - Savings,Median APE - Savings,Mean Abs Error,Mean APE,Mean Abs Error - Savings,Mean APE - Savings,Weighted Mean APE,Weighted Mean APE - Savings
Electric Resistance,0.0,1062.0,5.3,,,1583.0,6.8,,,6.7,
Natural Gas,0.0,1601.0,4.9,,,2291.0,6.3,,,6.0,
Propane,0.0,2057.0,6.4,,,3061.0,7.8,,,7.9,
Fuel Oil,0.0,1776.0,4.3,,,2361.0,5.3,,,5.1,
No Heating,0.0,6850.0,64.0,,,11122.0,94.6,,,95.0,
Heat Pump,0.0,955.0,5.5,,,1279.0,6.5,,,6.4,
AC,0.0,1515.0,5.3,,,2215.0,7.0,,,6.6,
Room AC,0.0,1438.0,4.5,,,2145.0,6.3,,,5.7,
No Cooling,0.0,1392.0,5.3,,,2164.0,7.4,,,6.5,
Total,0.0,1387.0,5.2,,,2093.0,6.9,,,6.4,
Electric Resistance,0.01,1257.0,4.8,1676.0,12.9,1885.0,6.1,2364.0,56.6,5.7,13.1
Natural Gas,0.01,1285.0,4.6,1853.0,11.5,1938.0,6.2,2679.0,45.0,5.9,12.7
Propane,0.01,1212.0,4.7,2052.0,13.4,1946.0,6.0,3418.0,1905.4,5.9,14.8
Fuel Oil,0.01,1281.0,4.8,2029.0,11.1,2009.0,6.4,2901.0,558.0,5.9,12.4
No Heating,0.01,1543.0,5.0,9661.0,42.0,1696.0,5.5,13145.0,161.3,5.0,55.9
Heat Pump,0.01,1388.0,4.7,1419.0,10.5,1963.0,6.1,2068.0,220.4,5.8,11.2
Total,0.01,1285.0,4.7,1775.0,11.8,1930.0,6.2,2639.0,198.0,5.8,13.0
Electric Resistance,1.0,863.0,5.1,417.0,17.8,1260.0,6.5,668.0,33.4,6.4,17.1
Natural Gas,1.0,1232.0,4.6,629.0,12.8,1691.0,6.0,1068.0,25.2,5.6,13.5
Propane,1.0,1668.0,6.2,705.0,14.8,2338.0,7.6,1371.0,24.2,7.4,18.2
Fuel Oil,1.0,1328.0,4.2,802.0,10.1,1758.0,5.2,1236.0,15.3,4.9,11.3
No Heating,1.0,5317.0,63.1,1061.0,882.5,10080.0,87.1,1512.0,6449.8,87.7,364.1
Heat Pump,1.0,736.0,4.8,289.0,18.8,998.0,6.0,580.0,27.3,5.8,21.6
Total,1.0,1096.0,4.9,527.0,14.5,1585.0,6.5,944.0,53.3,6.0,14.6
Electric Resistance,11.05,715.0,5.0,772.0,13.5,947.0,6.1,1140.0,48.4,5.9,14.8
Natural Gas,11.05,626.0,3.4,1257.0,10.1,896.0,4.4,1904.0,31.3,4.3,10.9
