Type,Upgrade ID,Median Abs Error,Median APE,Median Abs Error - Savings,Median APE - Savings,Mean Abs Error,Mean APE,Mean Abs Error - Savings,Mean APE - Savings,Weighted Mean APE,Weighted Mean APE - Savings
Propane,11.05,746.0,4.4,1676.0,12.1,1123.0,5.6,2637.0,18.1,5.5,14.3
Fuel Oil,11.05,733.0,3.5,1373.0,7.0,1076.0,4.9,1963.0,9.2,4.9,8.0
No Heating,11.05,621.0,8.0,7647.0,403.3,988.0,7.8,11776.0,857.8,7.7,443.4
Heat Pump,11.05,737.0,5.0,431.0,15.4,984.0,6.2,694.0,51.1,6.1,17.9
Total,11.05,674.0,4.0,1012.0,11.2,941.0,5.1,1672.0,39.1,4.9,12.0
Electric Resistance,11.07,586.0,3.6,1297.0,15.2,890.0,4.8,1830.0,75.1,4.6,16.0
Natural Gas,11.07,603.0,3.5,1696.0,10.5,871.0,4.7,2391.0,51.7,4.5,11.1
Propane,11.07,641.0,4.0,2029.0,12.7,889.0,4.7,3281.0,40.1,4.6,14.4
Fuel Oil,11.07,689.0,3.7,1743.0,8.2,923.0,4.8,2482.0,27.6,4.6,9.0
No Heating,11.07,598.0,3.1,10605.0,80.8,892.0,4.0,12422.0,1132.5,4.1,105.8
Heat Pump,11.07,626.0,3.6,1044.0,15.0,904.0,4.7,1491.0,117.8,4.6,15.7
Total,11.07,605.0,3.6,1559.0,11.9,883.0,4.7,2258.0,68.0,4.6,12.5
Electric Resistance,13.01,620.0,4.8,861.0,12.7,945.0,7.2,1380.0,28.5,6.6,14.6
Natural Gas,13.01,840.0,5.0,2237.0,14.0,1799.0,12.5,3306.0,27.9,10.6,15.5
Propane,13.01,778.0,5.0,2155.0,13.7,1528.0,9.7,3425.0,18.9,8.8,15.8
Fuel Oil,13.01,790.0,4.5,1684.0,7.1,1479.0,9.1,2654.0,10.5,8.2,9.3
No Heating,13.01,884.0,7.9,7486.0,272.6,1126.0,13.0,11478.0,1321.2,10.0,397.5
Heat Pump,13.01,659.0,5.1,521.0,14.3,1030.0,7.6,1006.0,19.6,7.2,17.8
Total,13.01,733.0,4.9,1449.0,13.2,1469.0,10.3,2586.0,31.0,9.2,15.2
Electric Resistance,13.02,766.0,4.8,1175.0,14.0,1008.0,5.7,1673.0,58.0,5.5,14.7
Natural Gas,13.02,775.0,4.8,1508.0,8.8,1023.0,5.8,2142.0,44.0,5.6,9.7
Propane,13.02,755.0,4.6,1803.0,11.0,978.0,5.4,2999.0,33.8,5.4,12.8
Fuel Oil,13.02,755.0,4.7,1480.0,7.2,993.0,5.7,2203.0,17.7,5.3,7.7
No Heating,13.02,938.0,5.2,10114.0,97.8,1152.0,5.5,12543.0,872.6,5.5,115.6
Heat Pump,13.02,727.0,4.5,979.0,14.8,981.0,5.6,1298.0,42.9,5.3,14.3
Total,13.02,764.0,4.8,1368.0,10.4,1012.0,5.7,2040.0,49.7,5.5,11.1
Electric Resistance,3.0,769.0,5.1,713.0,16.8,1058.0,6.1,1070.0,62.2,6.0,17.5
Natural Gas,3.0,817.0,4.0,1203.0,12.1,1235.0,5.1,1802.0,27.5,5.1,12.8
Propane,3.0,920.0,4.4,1781.0,16.1,1418.0,5.9,2715.0,29.2,5.8,18.5
Fuel Oil,3.0,1067.0,4.2,1404.0,8.1,1696.0,5.8,1921.0,14.9,6.2,9.9
No Heating,3.0,776.0,8.9,7622.0,448.3,1499.0,8.9,12270.0,7205.5,10.7,422.6
Heat Pump,3.0,859.0,5.3,171.0,15.1,1158.0,6.3,300.0,20.2,6.3,19.2
Total,3.0,823.0,4.4,928.0,13.3,1219.0,5.6,1563.0,64.4,5.5,14.2
Electric Resistance,4.0,662.0,5.4,773.0,10.7,930.0,6.7,1164.0,33.4,6.6,12.2
Natural Gas,4.0,700.0,4.3,1231.0,8.9,1075.0,5.5,1856.0,16.9,5.6,9.8
Propane,4.0,826.0,5.1,1669.0,11.1,1266.0,6.7,2679.0,15.4,6.6,13.6
Fuel Oil,4.0,908.0,4.9,1353.0,6.1,1579.0,6.8,2036.0,9.0,7.5,8.0
No Heating,4.0,705.0,7.3,7662.0,577.6,1081.0,8.6,11890.0,1490.4,9.2,525.4
Heat Pump,4.0,680.0,5.5,417.0,9.5,946.0,6.6,625.0,12.3,6.5,11.6
Total,4.0,701.0,4.8,983.0,9.3,1062.0,6.1,1652.0,26.1,6.1,10.7
Electricity,6.0,1092.0,5.3,275.0,27.9,1709.0,7.3,411.0,165.7,6.6,34.5
Natural Gas,6.0,1538.0,5.5,542.0,21.6,2192.0,7.5,778.0,36.5,6.5,26.9
Propane,6.0,1637.0,5.9,722.0,32.3,2423.0,7.6,1609.0,75.3,7.1,58.8
Fuel Oil,6.0,1615.0,4.0,778.0,33.5,2125.0,4.8,1329.0,79.6,4.7,52.1
Total,6.0,1345.0,5.4,414.0,24.7,2003.0,7.4,675.0,91.7,6.5,30.9
Electric Resistance,9.0,596.0,6.5,808.0,7.7,836.0,8.1,1225.0,11.8,7.9,9.4
Natural Gas,9.0,573.0,5.3,1246.0,6.0,851.0,6.9,1907.0,8.3,6.8,7.5
Propane,9.0,643.0,5.7,1702.0,8.3,974.0,7.2,2743.0,10.9,7.2,10.8
Fuel Oil,9.0,616.0,5.2,1375.0,5.3,1121.0,7.0,2079.0,6.9,7.8,6.5
No Heating,9.0,456.0,6.9,7389.0,228.0,843.0,8.8,11785.0,401.1,10.0,287.0
Heat Pump,9.0,630.0,6.8,461.0,6.1,860.0,8.2,733.0,8.2,7.9,8.1
Total,9.0,592.0,5.8,1032.0,6.6,869.0,7.4,1711.0,10.9,7.2,8.2
Electricity,Total By Fuel,637.0,5.4,538.0,16.0,977.0,7.2,954.0,105.6,6.9,15.5
Natural Gas,Total By Fuel,198.0,3.7,737.0,10.1,870.0,12.9,1576.0,3041.5,7.5,9.7
Propane,Total By Fuel,129.0,5.0,317.0,13.7,694.0,8.5,1049.0,1072.1,7.6,8.5
Fuel Oil,Total By Fuel,464.0,4.7,958.0,9.1,1167.0,5.7,1622.0,1686.5,5.5,6.2
