Upgrade ID,Type,Median Abs Error,Median APE,Median Abs Error - Savings,Median APE - Savings,Mean Abs Error,Mean APE,Mean Abs Error - Savings,Mean APE - Savings,Weighted Mean APE,Weighted Mean APE - Savings
0.0,AC,-206.0,-0.7000000000000002,,,-172.0,-0.7999999999999998,,,-0.5,
0.0,Electric Resistance,-203.0,-0.9000000000000004,,,-55.0,-0.9000000000000004,,,-0.2999999999999998,
0.0,Fuel Oil,-59.0,0.0,,,-53.0,-0.20000000000000018,,,-0.39999999999999947,
0.0,Heat Pump,,,,,,,,,,
0.0,Natural Gas,-246.0,-0.6999999999999997,,,-251.0,-0.6999999999999993,,,-0.6000000000000005,
0.0,No Cooling,-193.0,-1.0,,,26.0,0.5,,,0.0,
0.0,No Heating,-1773.0,3.799999999999997,,,1928.0,11.599999999999994,,,24.700000000000003,
0.0,Propane,-470.0,-1.7999999999999998,,,-409.0,-2.3,,,-1.200000000000001,
0.0,Room AC,-274.0,-0.9000000000000004,,,-411.0,-1.5,,,-1.1000000000000005,
0.0,Total,-110.0,-0.5999999999999996,,,-64.0,-0.40000000000000036,,,-0.5,
0.01,Electric Resistance,-225.0,-1.0999999999999996,0.0,,-184.0,-1.5,0.0,,-0.8000000000000007,
0.01,Fuel Oil,-403.0,-0.7999999999999998,0.0,,-326.0,-0.5,0.0,,-0.5,
0.01,Heat Pump,,,,,,,,,,
0.01,Natural Gas,-190.0,-0.40000000000000036,0.0,,-264.0,-0.7000000000000002,0.0,,-0.6000000000000005,
0.01,No Heating,14260.0,42.3,0.0,,13198.0,70.30000000000001,0.0,,76.8,
0.01,Propane,-249.0,-0.7999999999999998,0.0,,-68.0,-1.7000000000000002,0.0,,-0.39999999999999947,
0.01,Total,-54.0,-0.6000000000000001,0.0,,32.0,-0.1999999999999993,0.0,,-0.2999999999999998,
1.0,Electric Resistance,-226.0,-1.1000000000000005,34.0,0.8000000000000007,-118.0,-1.2999999999999998,33.0,0.29999999999999716,-0.7000000000000002,0.3000000000000007
1.0,Fuel Oil,-156.0,-0.30000000000000027,-42.0,-0.5,86.0,-0.20000000000000018,-145.0,1.4000000000000021,0.10000000000000053,-2.3000000000000007
1.0,Heat Pump,,,,,,,,,,
1.0,Natural Gas,-178.0,-0.5999999999999996,47.0,0.8000000000000007,-140.0,-0.7999999999999998,-58.0,-1.5999999999999979,-0.40000000000000036,-0.5999999999999996
1.0,No Heating,-2173.0,-5.600000000000001,800.0,6500.5,678.0,-1.6000000000000085,977.0,32446.9,10.0,1302.8
1.0,Propane,-419.0,-1.0999999999999996,-9.0,-0.8000000000000007,-246.0,-2.0999999999999996,40.0,2.9999999999999964,-0.9000000000000004,0.3999999999999986
1.0,Total,-159.0,-0.8000000000000003,83.0,0.09999999999999964,-56.0,-0.7999999999999998,25.0,158.89999999999998,-0.39999999999999947,-0.8000000000000007
11.05,Electric Resistance,-128.0,-0.8999999999999999,-51.0,-1.4000000000000004,-40.0,-0.5,-15.0,31.1,-0.2999999999999998,-0.7000000000000011
11.05,Fuel Oil,-282.0,-1.1999999999999997,-62.0,0.10000000000000053,-126.0,-0.9000000000000004,-26.0,-1.5999999999999996,-0.5999999999999996,-0.7999999999999998
11.05,Heat Pump,,,,,,,,,,
11.05,Natural Gas,-222.0,-1.1999999999999997,-91.0,-0.3000000000000007,-99.0,-0.7000000000000002,-144.0,-0.3000000000000007,-0.5,-0.6999999999999993
11.05,No Heating,-298.0,-2.7,-283.0,-65.20000000000005,-143.0,-2.3999999999999995,2789.0,2634.1,-0.6999999999999993,106.39999999999998
